name,lon,lat,area_km2
,90.35067,33.51082,472
Torneträsk,20.07573,68.13422,471
Falcon Lake,-99.23128,26.81183,469
,-66.14361,52.68276,466
,-92.38305,63.08352,465
,-109.08893,59.80710,464
,-70.98030,50.76615,464
Marqakol,85.74105,48.74637,462
Lake Neale,129.98867,-24.32422,461
,15.23418,64.19475,461
Uddjaure,17.77502,66.02981,461
Bodensee,9.33552,47.65516,460
Eğirdir,30.89225,38.05933,459
Qusmuryn Köli,64.83900,52.71940,458
,76.03575,32.02472,456
,26.01009,61.69148,455
,-96.79504,54.23685,453
Flathead Lake,-114.10477,47.90169,453
Liangzi Hu,114.59546,30.21909,452
,-75.18352,50.35478,450
,-109.73407,54.89637,449
,-95.19202,61.61833,447
Obanbori Qayroqum,70.18458,40.33433,446
,-105.71315,54.28027,446
Lake Manyara,35.80494,-3.58745,445
,-102.97099,62.07930,443
,-95.55413,54.85089,442
Ubinskoye Lake,80.03932,55.47686,442
Lake Goongarrie,121.52853,-29.75524,442
Sandy Lake,-92.92014,53.04438,440
,-68.49027,56.24603,439
,-111.44208,64.22978,438
Lago Gatun,-79.87449,9.16573,437
,39.09299,60.59453,436
Lago Ranco,-72.41464,-40.20281,435
,28.69127,66.18553,434
,-55.25059,-25.20393,433
Ozero Kubenskoye,39.42881,59.66640,432
Ngangzi Co,87.13906,31.01844,432
Bloemhof Dam,25.67710,-27.69528,432
,-80.41496,70.61424,432
,-163.93054,60.30281,431
Engozero,33.48656,65.74575,430
Split Lake,-96.17203,56.17833,423
Lake Kipawa,-79.09239,46.97827,419
Malheur Lake,-118.77294,43.34052,419
Lac Chavigny,-75.21915,58.22254,416
Vaal Dam,28.18567,-26.99838,415
Colville Lake,-125.98201,67.18637,414
M'Bakaou Reservoir,12.78825,6.40813,414
,-75.54642,58.64613,412
Lake Murray,141.52647,-6.98912,411
,-89.20947,52.92487,410
Pyramid Lake,-119.58200,40.05601,409
,-100.78698,54.21772,407
Serebryanskoe Reservoir,35.39520,68.51866,406
Tarbela Dam,72.85475,34.32650,405
Whitefish Lake,-106.76502,62.66685,403
Leech Lake,-94.44412,47.17623,403
,130.97591,-29.44587,401
Kaliningradskiy Zaliv,20.02373,54.59951,400
Goose Lake,-120.41489,41.94479,400
,-156.77833,57.61394,400
Mapam Yumco,81.48195,30.67300,399
,-118.80923,59.74514,397
,90.34008,34.79631,396
,26.56745,63.15873,393
Lake Plétipi,-70.10130,51.71224,392
Mjøsa,10.81942,60.76099,391
Lake Texoma,-96.58010,33.92955,390
Lake Habbaniyah,43.44085,33.31315,389
Keller Lake,-121.53668,63.96735,389
Teslin Lake,-132.44712,60.02876,388
Lough Neagh,-6.41520,54.61702,386
Lac Onangué,10.06687,-0.96054,386
